"id","from","to"
2,/load/2000ad/one_shots/113-1-0,/2000ad/
3,/load/alias/xiii/111-1-0,/alias/xiii-2005/
4,/load/archaia_studios_press/okko_cycle_of_earth/109-1-0,/archaia/okko-the-cycle-of-earth-2008/
5,/load/archie_comics/250-2,/archie-somics/
6,/load/archie_comics/250-3,/archie-somics/
7,/load/bongo/102-2,/bongo/
8,/load/bongo/bart_simpson_treehouse_of_horror/114-1-0,/bongo/bart-simpson039s-treehouse-of-horror-1995/
9,/load/boundless/174-2,/boundless/
10,/load/boundless/174-3,/boundless/
11,/load/boundless/174-4,/boundless/
12,/load/boundless/174-5,/boundless/
13,/load/boundless/174-6,/boundless/
14,/load/boundless/lady_death/175-1,/boundless/lady-death-2010/
15,/load/boundless/lady_death/175-1-0,/boundless/lady-death-2010/
16,/load/boundless/lady_death/175-1-2,/boundless/lady-death-2010/
17,/load/boundless/lady_death/175-1-3,/boundless/lady-death-2010/
18,/load/boundless/lady_death/175-2-2,/boundless/lady-death-2010/
19,/load/boundless/lady_death/175-2-3,/boundless/lady-death-2010/
20,/load/dc_comics/3-3,/dc/
21,/load/dc_comics/3-4,/dc/
22,/load/dc_comics/3-64,/dc/
23,/load/dc_comics/3-65,/dc/
24,/load/dc_comics/3-66,/dc/
25,/load/dc_comics/3-70,/dc/
26,/load/marvel/amazing_spider_man/7-1-0,/marvel/amazing-spider-man-1963/
27,/load/marvel/amazing_spider_man/7-1-10,/marvel/amazing-spider-man-1963/
28,/load/marvel/amazing_spider_man/7-1-2,/marvel/amazing-spider-man-1963/
29,/load/marvel/amazing_spider_man/amazing_spider_man_032/7-2-0-662,/marvel/amazing-spider-man-1963/125-amazing-spider-man-032.html
30,/load/marvel/amazing_spider_man/amazing_spider_man_035/7-2-0-828,/marvel/amazing-spider-man-1963/128-amazing-spider-man-035.html
31,/load/marvel/amazing_spider_man/amazing_spider_man_149/7-2-0-656,/marvel/amazing-spider-man-1963/655-amazing-spider-man-149.html
32,/load/marvel/deadpool_2008/deadpool_vol_2_022/18-2-0-581,/marvel/deadpool-2008/1333-deadpool-22.html
33,/publ/dc/10,/dc/
34,/load/vertigo/uncle_sam/uncle_sam_1/424-1-0-2610,/vertigo/uncle-sam-1997/2360-uncle-sam-01.html
35,/load/chimichanga_3/170-1-0-1176,/albatross/chimichanga-2009/465-chimichanga-03.html
36,/load/marvel/amazing_spider_man/amazing_spider_man_35/7-1-0-828,/marvel/amazing-spider-man-1963/128-amazing-spider-man-035.html
37,/load/amazing_spider_man_038/7-1-0-1164,/marvel/amazing-spider-man-1963/131-amazing-spider-man-038.html
38,/load/amazing_spider_man_399/7-1-0-1074,/marvel/amazing-spider-man-1963/1231-amazing-spider-man-399.html
39,/load/okko_the_cycle_of_earth_3/109-1-0-1078,/archaia/okko-the-cycle-of-earth-2008/472-okko-the-cycle-of-earth-03.html
40,/load/okko_the_cycle_of_earth_4/109-1-0-1174,/archaia/okko-the-cycle-of-earth-2008/473-okko-the-cycle-of-earth-04.html
41,/load/boevoj_burjat/wraithborn_redux/wraithborn_redux01/271-1-0-1510,/benitez/wraithborn-redux-2016/561-wraithborn-redux-01.html
42,/load/boevoj_burjat/wraithborn_redux/wraithborn_redux_02/271-1-0-1522,/benitez/wraithborn-redux-2016/562-wraithborn-redux-02.html
43,/load/boevoj_burjat/wraithborn_redux/wraithborn_redux_03/271-1-0-1620,/benitez/wraithborn-redux-2016/563-wraithborn-redux-03.html
44,/load/witchblade_021/77-1-0-1047,/top-cow/witchblade-1995/338-witchblade-021.html
45,/load/witchblade_022/77-1-0-1054,/top-cow/witchblade-1995/339-witchblade-022.html
46,/load/top_cow/witchblade/witchblade_81/77-1-0-797,/top-cow/witchblade-1995/429-witchblade-081.html
47,/load/witchblade_088/77-1-0-1083,/top-cow/witchblade-1995/436-witchblade-088.html
48,/load/witchblade_089/77-1-0-1138,/top-cow/witchblade-1995/437-witchblade-089.html
49,/load/witchblade_090/77-1-0-1148,/top-cow/witchblade-1995/438-witchblade-090.html
50,/load/witchblade_091/77-1-0-1154,/top-cow/witchblade-1995/439-witchblade-091.html
51,/load/24_underground_1/209-1-0-1135,/idw/24-underground-2014/1920-24-underground-01.html
52,/load/boundless/lady_death/lady_death_0/175-1-0-807,/boundless/lady-death-2010/736-lady-death-0-premiere.html
53,/load/lady_death_16/175-1-0-1067,/boundless/lady-death-2010/1201-lady-death-16.html
54,/load/lady_death_17/175-1-0-1081,/boundless/lady-death-2010/1202-lady-death-17.html
55,/load/lady_death_18/175-1-0-1101,/boundless/lady-death-2010/1203-lady-death-18.html
56,/load/lady_death_19/175-1-0-1114,/boundless/lady-death-2010/1204-lady-death-19.html
57,/load/lady_death_20/175-1-0-1117,/boundless/lady-death-2010/1205-lady-death-20.html
58,/load/lady_death_21/175-1-0-1118,/boundless/lady-death-2010/1206-lady-death-21.html
59,/load/lady_death_22/175-1-0-1121,/boundless/lady-death-2010/1207-lady-death-22.html
60,/load/lady_death_23/175-1-0-1122,/boundless/lady-death-2010/1208-lady-death-23.html
61,/load/lady_death_24/175-1-0-1124,/boundless/lady-death-2010/1209-lady-death-24.html
62,/load/lady_death_25/175-1-0-1126,/boundless/lady-death-2010/1210-lady-death-25.html
63,/load/lady_death_26/175-1-0-1152,/boundless/lady-death-2010/1211-lady-death-26.html
64,/load/lady_death_between_heaven_and_hell_1/207-1-0-1088,/chaos/lady-death-between-heaven-and-hell-1995/1684-lady-death-between-heaven-and-hell-01.html
65,/load/black_panther_02/11-1-0-1082,/marvel/black-panther-2005/978-black-panther-02.html
66,/load/black_panther_03/11-1-0-1145,/marvel/black-panther-2005/979-black-panther-03.html
67,/load/black_panther_10/11-1-0-1070,/marvel/black-panther-2005/983-black-panther-10.html
68,/load/black_panther_11/11-1-0-1077,/marvel/black-panther-2005/984-black-panther-11.html
69,/load/b_p_r_d_dark_waters/204-1-0-1056,/dark-horse/dark-horse-one-shots/687-bprd-dark-waters.html
70,/load/b_p_r_d_night_train/204-1-0-1057,/dark-horse/dark-horse-one-shots/688-bprd-night-train.html
71,/load/b_p_r_d_the_soul_of_venice/204-1-0-1052,/dark-horse/dark-horse-one-shots/689-bprd-the-soul-of-venice.html
72,/load/b_p_r_d_there_something_under_my_bed/204-1-0-1060,/dark-horse/dark-horse-one-shots/691-bprd-there-something-under-my-bed.html
73,/load/idw/criminal_macabre_a_col_mcdonald_mystery/criminal_macabre_love_me_tenderloin/57-1-0-776,/dark-horse/criminal-macabre-a-cal-mcdonald-mystery-2003/675-criminal-macabre-love-me-tenderloin.html
74,/load/idw/criminal_macabre_a_col_mcdonald_mystery/criminal_macabre_a_cal_mcdonald_mystery_5/57-1-0-663,/dark-horse/criminal-macabre-a-cal-mcdonald-mystery-2003/681-criminal-macabre-a-col-mcdonald-mystery-05.html
75,/load/dark_horse/x_2014/x_0/212-1-0-1158,/dark-horse/x-2013/1452-x-00.html
76,/load/dark_horse/x_2014/x_1/212-1-0-1159,/dark-horse/x-2013/1453-x-01.html
77,/load/x_02/212-1-0-1166,/dark-horse/x-2013/1454-x-02.html
78,/load/drawning_on_your_nightmares/206-1-0-1066,/dark-horse/dark-horse-one-shots/1415-drawing-on-your-nightmares-01.html
79,/load/metro_last_light/206-1-0-1133,/dark-horse/dark-horse-one-shots/1416-metro-last-light-01.html
80,/load/daredevil_041/14-1-0-1186,/marvel/daredevil-1998/2219-daredevil-041.html
81,/load/daredevil_098/14-1-0-1098,/marvel/daredevil-1998/2232-daredevil-098.html
82,/news/giant_size_spider_man_03/2019-07-21-1574,/marvel/giant-size-spider-man-1974/2434-giant-size-spider-man-03.html
83,/load/marvel/deadpool_1997/deadpool_v_2_07/17-1-0-941,/marvel/deadpool-1997/1640-deadpool-07.html
84,/load/marvel/thunderbolts_v_3/fantastic_four_1/273-1-0-2389,/marvel/fantastic-four-2018/29-fantastic-four-01.html
85,/load/marvel/one_shots/deadpool_team_up_886/45-1-0-674,/marvel/deadpool-team-up-2009/1642-deadpool-team-up-886.html
86,/load/marvel/195-1-0-969,/marvel/deadpool-team-up-2009/1644-deadpool-team-up-894.html
87,/load/marvel/195-1-0-968,/marvel/deadpool-team-up-2009/1645-deadpool-team-up-895.html
88,/news/heroes_for_hire_6_pogerojstvuem/2015-11-23-788,/marvel/heroes-for-hire-2011/2077-heroes-for-hire-06.html
89,/load/marvel/hulk_nightamerica/hulk_nightamerica_1/337-1-0-1944,/marvel/hulk-nightmerica-2003/1220-hulk-nightmerica-01.html
90,/load/marvel/hulk_nightamerica/hulk_nightamerica_2/337-1-0-1943,/marvel/hulk-nightmerica-2003/1221-hulk-nightmerica-02.html
91,/load/marvel/hulk_nightamerica/hulk_nightmerica_3/337-1-0-1950,/marvel/hulk-nightmerica-2003/1222-hulk-nightmerica-03.html
92,/load/incredible_hulk_105/43-1-0-1075,/marvel/incredible-hulk-2000/1545-incredible-hulk-105.html
93,/load/loki_4/166-1-0-1171,/marvel/loki-2004/2081-loki-04.html
94,/load/new_x_men_144/156-1-0-1090,/marvel/new-x-men-2002/2313-new-x-men-144.html
95,/load/new_x_men_145/156-1-0-1103,/marvel/new-x-men-2002/2314-new-x-men-145.html
96,/load/rocket_raccoon_01/213-1-0-1177,/marvel/rocket-raccoon-2014/1986-rocket-raccoon-01.html
97,/load/punisher_vol_4_03/163-1-0-1039,/marvel/punisher-2001/2252-punisher-03.html
98,/load/punisher_vol_4_04/163-1-0-1040,/marvel/punisher-2001/2253-punisher-04.html
99,/load/punisher_vol_4_05/163-1-0-1042,/marvel/punisher-2001/2254-punisher-05.html
100,/load/marvel/punisher_2001/punisher_vol_4_7/163-1-0-732,/marvel/punisher-2001/2256-punisher-07.html
101,/load/punisher_vol_4_08/163-1-0-1071,/marvel/punisher-2001/2257-punisher-08.html
102,/news/pod_grokhot_avtomatov/2014-02-04-531,/marvel/punisher-2001/2260-punisher-27.html
103,/load/secret_wars_8/130-1-0-1048,/marvel/marvel-super-heroes-secret-wars-1984/2105-secret-wars-08.html
104,/load/marvel/silver_surfer_v5/277,/marvel/silver-surfer-2014/2172-silver-surfer-03.html
105,/load/marvel/silver_surfer_v5/silver_surfer_vol_5_4/277-1-0-1553,/marvel/silver-surfer-2014/2173-silver-surfer-04.html
106,/load/spider_man_funeral_for_an_octopus_2/201-1-0-1043,/marvel/spider-man-funeral-for-an-octopus-1995/116-spider-man-funeral-for-an-octopus-02.html
107,/load/spider_man_funeral_for_an_octopus_3/201-1-0-1051,/marvel/spider-man-funeral-for-an-octopus-1995/117-spider-man-funeral-for-an-octopus-03.html
108,/load/spider_man_56/135-1-0-1079,/marvel/spider-man-1990/2190-spider-man-56.html
109,/load/marvel/spider_man/spider_man_058/135-1-0-1295,/marvel/spider-man-1990/2192-spider-man-58.html
110,/load/x_men_legacy_213/202-1-0-1044,/marvel/x-men-legacy-2008/2325-x-men-legacy-213.html
111,/news/teen_titans_46_47_x_men_legacy_225_den_rozhdenija_voka_i_trekhletie_tigry/2017-06-23-1106,/marvel/x-men-legacy-2008/2329-x-men-legacy-225.html
112,/load/marvel/uncanny_x_men_1981/x_men_014/34-1-0-1383,/marvel/x-men-1963/1549-x-men-014.html
113,/load/marvel/uncanny_x_men_1981/x_men_015/34-1-0-1389,/marvel/x-men-1963/1550-x-men-015.html
114,/load/marvel/uncanny_x_men_1981/x_men_016/34-1-0-1430,/marvel/x-men-1963/1551-x-men-016.html
115,/load/marvel/uncanny_x_men_1981/x_men_017/34-1-0-1431,/marvel/x-men-1963/1552-x-men-017.html
116,/load/marvel/uncanny_x_men_1981/x_men_018/34-1-0-1432,/marvel/x-men-1963/1553-x-men-018.html
117,/load/marvel/uncanny_x_men_1981/x_men_019/34-1-0-1433,/marvel/x-men-1963/1554-x-men-019.html
118,/load/marvel/uncanny_x_men_1981/x_men_020/34-1-0-1434,/marvel/x-men-1963/1555-x-men-020.html
119,/load/marvel/uncanny_x_men_1981/x_men_021/34-1-0-1435,/marvel/x-men-1963/1556-x-men-021.html
120,/load/marvel/uncanny_x_men_1981/uncanny_x_men_022/34-1-0-1516,/marvel/x-men-1963/1557-x-men-022.html
121,/load/marvel/uncanny_x_men_1981/uncanny_x_men_023/34-1-0-1524,/marvel/x-men-1963/1558-x-men-023.html
122,/load/marvel/uncanny_x_men_1981/uncanny_x_men_24/34-1-0-1865,/marvel/x-men-1963/1559-x-men-024.html
123,/load/marvel/uncanny_x_men_1981/uncanny_x_men_25/34-1-0-2105,/marvel/x-men-1963/1560-x-men-025.html
124,/load/marvel/uncanny_x_men_1981/uncanny_x_men_26/34-1-0-2198,/marvel/x-men-1963/1561-x-men-026.html
125,/load/marvel/uncanny_x_men_1981/uncanny_x_men_027/34-1-0-2488,/marvel/x-men-1963/1562-x-men-027.html
126,/load/marvel/uncanny_x_men_1981/x_men_099/34-1-0-1469,/marvel/x-men-1963/1583-x-men-099.html
127,/load/marvel/uncanny_x_men_1981/x_men_100/34-1-0-1556,/marvel/x-men-1963/1584-x-men-100.html
128,/load/marvel/uncanny_x_men_1981/x_men_101/34-1-0-1557,/marvel/x-men-1963/1585-x-men-101.html
129,/load/marvel/uncanny_x_men_1981/x_men_102/34-1-0-1558,/marvel/x-men-1963/1586-x-men-102.html
130,/load/marvel/uncanny_x_men_1981/uncanny_x_men_103/34-1-0-1638,/marvel/x-men-1963/1587-x-men-103.html
131,/load/marvel/uncanny_x_men_1981/uncanny_x_men_104/34-1-0-1664,/marvel/x-men-1963/1588-x-men-104.html
132,/load/marvel/uncanny_x_men_1981/uncanny_x_men_109/34-1-0-1795?l7auaQ,/marvel/x-men-1963/1589-x-men-109.html
133,/load/marvel/uncanny_x_men_1981/uncanny_x_men_110/34-1-0-1837,/marvel/x-men-1963/1590-x-men-110.html
134,/load/marvel/uncanny_x_men_1981/uncanny_x_men_112/34-1-0-2289,/marvel/x-men-1963/1563-x-men-112.html
135,/load/marvel/uncanny_x_men_1981/uncanny_x_men_113/34-1-0-2411,/marvel/x-men-1963/1564-x-men-113.html
136,/news/uncanny_x_men_117/2019-11-30-1629,/marvel/x-men-1963/2499-x-men-117.html
137,/load/marvel/uncanny_x_men_1981/uncanny_x_men_172/34-1-0-1029,/marvel/uncanny-x-men-1981/1566-uncanny-x-men-172.html
